epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.3037,0.9012,3.35101,1.43406,0.00535,1,0.05743,0.04449,0.71871,3.0514,1.26815,2.858e-05,2.858e-05,2.858e-05
2,20.8242,0.59247,3.18681,1.13186,0.00537,1,0.06112,0.04995,0.6513,3.06534,1.30105,7.00353e-05,7.00353e-05,7.00353e-05
3,23.4745,0.71244,3.06593,1.30196,0.00525,1,0.12099,0.10463,0.61937,3.04656,1.21159,0.000109793,0.000109793,0.000109793
4,26.4179,0.8129,2.95036,1.2859,0.00511,1,0.26896,0.23681,0.60584,3.03941,1.15521,0.000147853,0.000147853,0.000147853
5,28.4285,0.80387,2.8166,1.30554,0.00495,1,0.43417,0.32279,0.60307,3.02132,1.13693,0.000184215,0.000184215,0.000184215
6,29.9451,0.71424,2.38732,1.17737,0.00443,1,0.51708,0.38361,0.79489,2.95844,1.22393,0.00021888,0.00021888,0.00021888
7,31.6339,0.70078,2.08674,1.16277,0.00434,1,0.76773,0.63313,0.81963,2.90534,1.24998,0.000251847,0.000251847,0.000251847
8,34.0606,0.8534,2.02871,1.27493,0.00433,1,0.64048,0.5193,0.75767,2.85792,1.24059,0.000283116,0.000283116,0.000283116
9,36.3582,0.79866,1.93672,1.22785,0.00433,1,0.64299,0.5158,0.7719,2.82541,1.2233,0.000312688,0.000312688,0.000312688
10,38.3834,0.66428,1.75217,1.158,0.00449,1,0.75587,0.6743,0.77204,2.81518,1.20105,0.000340562,0.000340562,0.000340562
11,40.2892,0.7125,1.84494,1.2175,0.00453,1,0.74963,0.67256,0.65512,2.78592,1.09969,0.000366739,0.000366739,0.000366739
12,42.6529,0.79658,1.62325,1.24158,0.00446,1,0.75294,0.69861,0.65736,2.75604,1.10727,0.000391217,0.000391217,0.000391217
13,44.8621,0.73487,1.36283,1.05822,0.00444,1,0.7492,0.67264,0.71065,2.66964,1.10088,0.000413998,0.000413998,0.000413998
